Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C1525
"C17, C19",0402,2,1uF, 
C18,0603,1,4.7uF, 
"C2, C3",0402,2,5p,C1570
C20,0603,1,2.2uF, 
"D1, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7",Kailh_socket_PG1353_LED_1U-4.8MM,12,KB_HOTSWAP_WS2812B,
DS1,TE_CON-0_1x30-1MP_P0.5mm_Horizontal-OLED-FPC,1,OLED-128O064D,
"H1, H2, H3, H4, H5, H6, H7",MountingHole_6mm,7,MountingHole,
"R1, R5",0402,2,1k,C11702
R15,0402,1,390K, 
"R16, R17",0402,2,4.7K, 
R2,0402,1,10k,C25744
"R3, R4",0402,2,27,C138021
"R6, R7",0402,2,5.1k,C25905
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Push_1P1T_NO_6x6mm_H5mm,6,SW_Push,
SW19,SW-K2-1109SE,1,SW_Push,C271750
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
